services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
bike,2024-06-26,04:55:52.542646,completed,koramangala,Anjanapura Quarry,15.0,RD5440556690792913,1.69,54.01,5.16,59.17,
cab economy,2024-06-27,22:12:03.542646,completed,Srirampura Farms,Doddakannelli Quarters,19.0,RD0833847880076187,8.23,,,,
bike,2024-08-15,12:41:16.542646,completed,Koramangala ,BTM Layout Terrace,27.0,RD3396547257701584,11.09,104.92,5.17,110.09,Amazon Pay
auto,2024-06-24,21:35:16.542646,completed,ITI Layout Quarters,Rajajinagar Commons,20.0,RD5684967706313472,7.78,139.17,4.28,143.45,Amazon Pay
bike,2024-07-08,11:10:40.542646,completed,Hennur Road Landing,Adugodi 5th Block,5.0,RD4194820692246454,1.74,27.86,13.11,40.97,GPay
auto,2024-07-17,18:27:47.542646,cancelled,Jayanagar 4th Block,Kothaguda 2nd Block,32.0,RD7816597851940003,6.07,,,,
bike,2024-06-24,04:16:50.542646,completed,BTM Layout Passage,Mahadevapura Landing,29.0,RD8328883434181736,11.06,128.67,3.35,132.02,Amazon Pay
auto,2024-07-10,04:09:15.542646,completed,Tavarekere Park,Banaswadi Vista,18.0,RD7450063577959044,5.63,172.62,0.28,172.9,Amazon Pay
parcel,2024-08-12,13:37:27.542646,completed,Avalahalli Sector,Mysore Road Loop,25.0,RD8841623057419279,3.62,61.58,8.64,70.22,Amazon Pay
bike,2024-07-03,23:48:47.542646,completed,koramangala,Rachenahalli 5th Stage,5.0,RD8531318458991953,3.58,49.56,2.84,52.4,GPay
cab economy,2024-07-10,22:36:14.542646,completed,Kothaguda Complex,HSR Layout Complex,15.0,RD9929093775154764,5.61,164.02,10.33,174.35,Paytm
cab economy,2024-08-15,04:48:00.542646,completed,Ashok Nagar Bridge,Hosur Road Landing,16.0,RD8000612415784099,5.87,257.75,17.25,275.0,Paytm
cab economy,2024-06-21,18:09:21.542646,cancelled,Jakkasandra Yard,ITI Layout Promenade,28.0,RD7538921359056183,4.61,,,,
bike,2024-07-01,08:53:29.542646,completed,Basavanagudi Bridge,Magadi Road Drive,56.0,RD1099945174805933,16.31,230.54,8.99,239.53,
parcel,2024-06-27,11:41:13.542646,cancelled,Arekere Fork,Bikasipura Drive,30.0,RD0322184638690144,9.2,,,,
bike,2024-08-02,16:15:54.542646,completed,Bellandur Woods,Hennur Arc,22.0,RD9124159884865557,1.32,,,,
auto,2024-07-16,11:34:35.542646,cancelled,Kothanur 2nd Block,Ulsoor Valley,26.0,RD8876779861287509,7.8,,,,
auto,2024-07-19,17:00:31.542646,completed,Anekal Vista,Kumaraswamy Layout Cutting,48.0,RD3200621968128393,12.8,,,,
bike,2024-07-09,10:38 PM,completed,Sanjay Nagar Colony,Hulimavu Court,35.0,RD3298911371382578,10.2,,,,
bike ,2024-07-09,19:07:13.542646,completed,Naganathapura 5th Block,Madiwala Zone,19.0,RD9198038078566151,2.18,65.55,17.72,83.27,QR scan
bike lite,2024-07-04,13:29:57.542646,completed,Avalahalli 1st Stage,Whitefield Cove,14.0,RD0825756492630499,2.85,30.13,13.35,43.48,QR scan
parcel,2024-07-21,05:38:40.542646,cancelled,Nagwara Farms,Doddakannelli Place,15.0,RD8082104368435073,3.16,,,,
bike,2024-07-09,16:37:33.542646,completed,Kumaraswamy Layout Enclave,Nayandahalli Dam,8.0,RD4995727880339172,2.07,31.9,2.19,34.09,Amazon Pay
parcel,2024-08-12,04:38:47.542646,completed,Avalahalli Quay,Chikkabellandur Commons,17.0,RD9587343329232105,5.26,96.4,4.56,100.96,QR scan
auto,2024-07-06,23:40:19.542646,completed,Mahadevapura Colony,RMV 2nd Stage Township,15.0,RD0196218220127974,3.17,113.05,2.09,115.14,GPay
auto,2024-06-20,23:04:57.542646,completed,Koramangala Pass,Rajajinagar Plaza,19.0,RD4370142322524324,7.49,181.28,1.84,183.12,GPay
cab economy,16/08/2024,19:41:18.542646,completed,Hebbal Cove,HRBR Layout Township,77.0,RD6122391100446857,16.85,557.31,14.87,572.18,
parcel,2024-06-17,13:18:41.542646,completed,Tavarekere 1st Block,Electronic City Promenade,12.0,RD9453082414861530,3.71,50.12,4.08,54.2,Amazon Pay
auto,2024-08-08,07:28:30.542646,completed,Jayanagar Park,KR Puram Vista,24.0,RD2238329909604667,6.15,141.17,0.75,141.92,Amazon Pay
cab economy,2024-08-13,08:06:17.542646,completed,Madivala Viewpoint,BTM Layout Pier,48.0,RD8197897547558903,12.31,405.42,2.33,407.75,QR scan
auto,2024-06-19,01:52:27.542646,completed,ITI Layout Extension,Ramamurthy Nagar 4th Stage,19.0,RD7991971558296182,7.89,220.97,4.19,225.16,QR scan
bike,2024-08-07,05:24:49.542646,completed,Banashankari Landing,Anjanapura Sector,37.0,RD2060994594912255,14.29,193.76,0.03,193.79,GPay
bike lite,2024-08-07,03:02:03.542646,completed,Vidyaranyapura Pointe,Chikkajala Cross,34.0,RD2113530102067044,8.49,89.19,5.21,94.4,QR scan
auto,2024-07-20,14:35:15.542646,completed,Koramangala ,Balagere Grove,12.0,RD7452361731925978,5.34,113.73,0.23,113.96,GPay
bike,2024-06-26,13:05:15.542646,completed,Madiwala Side,Rajajinagar Farms,20.0,RD3631715730301864,7.59,75.38,2.48,77.86,Paytm
bike,2024-08-02,10:37:56.542646,cancelled,Bikasipura Cut,Horamavu Lane,9.0,RD7185030106312139,1.59,,,,
cab economy,02/08/2024,08:50:07.542646,completed,Kudlu 2nd Block,Byatarayanapura Fork,44.0,RD3799852520260606,8.39,462.19,9.8,471.99,Paytm
bike,2024-07-07,13:58:00.542646,completed,Gottigere Quarters,Kalena Agrahara View,10.0,RD8766072152996157,5.16,46.31,18.49,64.8,Paytm
bike,2024-08-08,06:05:07.542646,completed,Doddakannelli Township,Nagarbhavi Meadows,35.0,RD4811820731711201,11.98,117.06,2.4,119.46,QR scan
cab economy,2024-08-08,05:04:37.542646,completed,Nagarbhavi Court,Kodigehalli Valley,19.0,RD6036340900532080,8.28,,,,
cab economy,2024-07-31,04:07:25.542646,completed,Arekere 3rd Stage,Vidyaranyapura Track,15.0,RD6835064895109550,7.1,213.37,3.26,216.63,QR scan
cab economy,2024-08-04,14:07:26.542646,completed,Chikkajala Way,Mahadevapura Pass,5.0,RD7538653646680457,2.68,99.05,5.63,104.68,Amazon Pay
auto,2024-06-17,09:03:30.542646,completed,Pai Layout 4th Block,Kanakapura Hills,20.0,RD0676588653995072,3.39,117.74,0.16,117.9,Paytm
auto,2024-08-04,16:32:51.542646,completed,Rajarajeshwari Nagar 5th Block,Banashankari Crescent,16.0,RD0647897326735361,5.53,122.07,4.07,126.14,QR scan
cab economy,2024-08-14,10:08:41.542646,completed,Nagasandra Square,Hebbal Meadows,74.0,RD7444230198460381,14.42,632.41,16.22,648.63,QR scan
parcel,2024-06-25,21:42:08.542646,completed,Kalyan Nagar Nagar,Doddakannelli Alley,12.0,RD2234041787198763,6.86,78.37,0.65,79.02,Amazon Pay
bike lite,2024-08-08,08:00:59.542646,completed,Ramamurthy Nagar Lane,Chikkabellandur View,5.0,RD0087131202572477,0.8,29.79,1.55,31.34,Paytm
cab economy,2024-07-19,00:21:52.542646,completed,Subbanna Palya Garden,Doddanekundi Valley,21.0,RD0999620804210363,9.06,,,,
parcel,2024-07-28,08:30:23.542646,completed,ITI Layout Passage,Hennur Nagar,28.0,RD5125115624070536,4.79,91.75,19.41,111.16,Paytm
auto,2024-07-28,19:00:50.542646,completed,Srirampura 2nd Block,HSR Layout 5th Block,11.0,RD2124185447891144,3.77,,,,
auto,2024-07-03,12:17:15.542646,completed,HSR Layout Garden,Kundalahalli Works,5.0,RD8407691433770221,3.18,77.67,2.33,80.0,Paytm
bike,2024-08-08,17:54:03.542646,completed,Agrahara Layout Extension,Bommanahalli Garden,31.0,RD0342890508626345,6.63,128.49,25.39,153.88,QR scan
parcel ,2024-08-01,04:59 AM,completed,Chikkalasandra 4th Block,Doddakannelli 2nd Block,13.0,RD6599545630144691,2.19,67.46,3.07,70.53,Paytm
auto,2024-08-12,15:06:59.542646,completed,Kadugodi Plaza,Jalahalli Run,42.0,RD0657251815241681,13.07,236.26,1.54,237.8,GPay
parcel,2024-07-03,23:23:02.542646,completed,Ganganagar Colony,Kanakapura Township,7.0,RD2642530389311250,2.61,62.34,16.72,79.06,QR scan
bike,2024-07-20,22:43:04.542646,completed,Billekahalli Station,Vidyaranyapura Track,7.0,RD6879448042169096,4.58,47.07,3.14,50.21,GPay
parcel,2024-06-22,17:03:45.542646,completed,Dommasandra Place,Kasavanahalli Cove,34.0,RD7564541425248758,8.51,146.12,2.0,148.12,QR scan
bike,2024-06-29,20:14:40.542646,completed,Bhadrappa Layout Village,Hulimavu Meadows,25.0,RD6945361519810087,10.03,85.88,31.75,117.63,QR scan
auto,2024-08-03,16:24:58.542646,completed,Basaveshwaranagar Zone,Attibele Alcove,16.0,RD6738172443504355,6.68,125.27,18.96,144.23,Paytm
bike,2024-07-20,20:44:06.542646,completed,Kothaguda 1st Block,Bommanahalli 3rd Stage,16.0,RD9989130009931360,5.8,62.13,14.11,76.24,Amazon Pay
auto,2024-08-03,13:28:37.542646,completed,Nagawara 6th Block,Domlur Garden,5.0,RD6780140286015691,1.68,49.66,7.87,57.53,QR scan
auto,2024-08-03,15:37:18.542646,completed,Dooravani Nagar Fork,Madiwala 6th Block,11.0,RD9153450028232881,1.5,57.91,20.36,78.27,Paytm
cab economy,2024-08-13,00:25:06.542646,completed,Chikkagubbi Pass,Banashankari Pointe,27.0,RD7257307946078527,12.92,369.34,4.22,373.56,Amazon Pay
cab economy,2024-06-27,08:51:49.542646,completed,BTM Layout Crescent,Bhuvaneshwari Nagar Yard,94.0,RD4730093141536366,15.55,739.28,2.25,741.53,QR scan
bike,2024-06-26,02:50:32.542646,completed,Koramangala ,Tavarekere Bridge,5.0,RD0753215620615800,1.4,34.85,6.49,41.34,Amazon Pay
auto,2024-07-26,01:49:24.542646,completed,Amruthahalli Park,RT Nagar Area,17.0,RD8614462133834901,5.48,151.03,4.05,155.08,Paytm
cab economy,2024-07-26,09:42:23.542646,completed,Nagwara 2nd Stage,Nandini Layout Pass,64.0,RD7917677715019326,16.94,746.66,13.16,759.82,GPay
auto,2024-08-16,16:06:27.542646,completed,Horamavu Meadows,Doddakannelli Heights,16.0,RD2350523900589184,4.01,,,,
bike,2024-07-17,13:50:30.542646,completed,Horamavu Cove,Nandini Layout Lane,9.0,RD5590527143323864,4.79,45.63,2.06,47.69,GPay
parcel,2024-08-08,08:18:37.542646,completed,Whitefield Village,Hennur Square,11.0,RD1979895748800973,2.72,80.63,14.67,95.3,Amazon Pay
parcel,2024-07-15,13:36:00.542646,completed,HSR Layout Dam,Domlur Commons,8.0,RD3266254485089305,2.08,44.04,2.25,46.29,Paytm
bike,2024-07-22,19:54:53.542646,completed,Rajarajeshwari Nagar Close,Chikkalasandra View,26.0,RD7127683974262860,6.29,81.94,22.99,104.93,Amazon Pay
BIKE LITE,2024-06-21,17:22:11.542646,cancelled,Doddanekundi Grove,Sahakar Nagar Valley,25.0,RD6947550451018868,4.09,,,,
auto,2024-06-23,06:53 AM,completed,Munnekollal Close,Hosur Sarjapur Road Layout Viewpoint,17.0,RD0570304215800388,6.14,121.59,4.49,126.08,GPay
bike,2024-06-25,21:47:59.542646,cancelled,Balagere Arc,Hebbal Cutting,22.0,RD9780307992364308,5.24,,,,
cab economy,2024-07-04,16:02:14.542646,completed,Hosur Village,Kaval Byrasandra 5th Stage,35.0,RD6416274975829550,9.89,251.1,3.76,254.86,Amazon Pay
bike,2024-07-09,21:14:53.542646,completed,Ulsoor Court,Malleshwaram Arcade,9.0,RD9290976614019823,3.38,,,,
bike,2024-07-29,13:07:59.542646,cancelled,Subbanna Palya 1st Block,Pai Layout Road,19.0,RD2984558095911500,6.17,,,,
bike,16/07/2024,10:47 AM,completed,Benniganahalli 3rd Stage,Bellandur Outer Ring Road Bay,27.0,RD0703372253522834,5.1,111.32,3.58,114.9,Paytm
auto,2024-08-01,20:32:38.542646,completed,Hosur Fields,MG Road Nagar,26.0,RD6509972678420429,7.08,143.62,2.41,146.03,GPay
bike,2024-08-10,20:43:39.542646,completed,Koramangala Colony,Madivala Depot,5.0,RD4141940311331944,1.11,24.8,1.6,26.4,Paytm
bike lite,2024-07-03,19:52:57.542646,completed,Rajarajeshwari Nagar Ridge,Dr. Shivaram Karanth Nagar Mews,33.0,RD6637191193153117,6.13,63.35,16.93,80.28,QR scan
parcel,2024-07-02,20:35:24.542646,completed,Kengeri Trail,Vidyaranyapura Layout,25.0,RD4956738533627498,7.98,98.59,6.53,105.12,Amazon Pay
auto,2024-07-14,01:47:39.542646,completed,Bommanahalli 3rd Stage,Koramangala 4th Block Arcade,15.0,RD6545086814164281,6.0,156.65,0.72,157.37,QR scan
bike,2024-07-21,14:33:02.542646,completed,RT Nagar Township,Nagawara Commons,5.0,RD3817880976303420,1.77,27.29,1.91,29.2,QR scan
bike,2024-06-30,08:09:04.542646,cancelled,Kengeri 4th Stage,Bhadrappa Layout Valley,28.0,RD7828961357364981,5.57,,,,
auto,2024-08-03,21:21:16.542646,completed,HSR Layout 2nd Block,Kothaguda Garden,17.0,RD1225029458584532,3.64,102.42,10.43,112.85,Amazon Pay
