services,date,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,timestamp,year,month,hour,day_of_week,is_weekend,peak_hour,time_slot,completed,source_cancel_rate,demand_zone,demand_intensity,service_cancel_rate,avg_speed_kmh,fare_per_km,distance_category,duration_category,fare_category
bike_lite,2024-06-17,completed,banashankari harbor,shivaji nagar station,6,RD8953828714822704,2.3,30.77,36.4,67.17,amazon pay,2024-06-17 23:29:00,2024,6,23,0,0,0,late_night,1,0.0,low_demand,0.96,0.0995,23.0,29.2,short,quick,budget
auto,2024-06-21,completed,kadubeesanahalli commons,ulsoor district,16,RD7708304567842163,5.78,108.72,9.3,118.02,amazon pay,2024-06-21 16:36:00,2024,6,16,4,0,0,evening_rush,1,0.0,low_demand,0.98,0.1028,21.68,20.42,medium,moderate,standard
bike,2024-07-04,completed,kalyan nagar pointe,nayandahalli boulevard,38,RD6473338791702702,14.91,118.11,10.44,128.55,gpay,2024-07-04 07:55:34,2024,7,7,3,0,0,morning_rush,1,0.2,medium_demand,1.02,0.1036,23.54,8.62,medium,long,standard
auto,2024-07-28,completed,basaveshwaranagar pier,madiwala harbor,8,RD5731182308846565,2.18,89.28,1.36,90.64,gpay,2024-07-28 05:18:58,2024,7,5,6,1,0,late_night,1,0.0,low_demand,1.01,0.1028,16.35,41.58,short,quick,standard
bike,2024-07-29,completed,naganathapura 1st block,kaggalipura circle,38,RD8742120338050819,9.81,127.26,0.9,128.16,paytm,2024-07-29 03:15:49,2024,7,3,0,0,0,late_night,1,0.0,low_demand,0.99,0.1036,15.49,13.06,medium,long,standard
parcel,2024-06-29,completed,thanisandra heights,anekal cove,16,RD7689809289833095,4.5,59.84,0.27,60.11,amazon pay,2024-06-29 12:21:33,2024,6,12,5,1,0,late_morning,1,0.0,high_demand,1.0,0.1053,16.88,13.36,short,moderate,budget
cab_economy,2024-07-09,completed,nagarbhavi station,mahadevapura 4th stage,28,RD2611926970493999,8.21,218.3,1.69,219.99,paytm,2024-07-09 22:09:34,2024,7,22,1,0,0,night,1,0.0,high_demand,1.01,0.1074,17.59,26.8,medium,moderate,premium
parcel,2024-08-08,completed,kadugodi hills,rachenahalli 5th stage,25,RD1947303693704861,7.65,123.77,23.47,147.24,paytm,2024-08-08 23:03:42,2024,8,23,3,0,0,late_night,1,0.0,low_demand,0.96,0.1053,18.36,19.25,medium,moderate,standard
auto,2024-07-17,completed,koramangala,chikkajala quarry,9,RD5130685942665307,1.63,55.84,1.34,57.18,paytm,2024-07-17 12:44:16,2024,7,12,2,0,0,late_morning,1,0.1017,high_demand,1.0,0.1028,10.87,35.08,short,quick,budget
auto,2024-06-24,completed,horamavu square,anjanapura viewpoint,17,RD1215007444107331,3.3,151.85,5.36,157.21,qr scan,2024-06-24 17:40:08,2024,6,17,0,0,1,evening_rush,1,0.1,high_demand,1.0,0.1028,11.65,47.64,short,moderate,premium
bike,2024-06-20,cancelled,kanaka nagar arc,sarjapur cross,41,RD7203293909847425,15.29,0.0,0.0,0.0,not_applicable,2024-06-20 20:30:09,2024,6,20,3,0,0,night,0,0.3333,low_demand,1.0,0.1036,22.38,0.0,long,long,cancelled
bike,2024-06-19,completed,rmv 2nd stage landing,jalahalli boulevard,6,RD9943873741408455,2.77,37.15,0.68,37.83,qr scan,2024-06-19 11:21:19,2024,6,11,2,0,0,late_morning,1,0.125,high_demand,1.05,0.1036,27.7,13.66,short,quick,budget
bike,2024-06-20,completed,kothanur drive,rajarajeshwari nagar pointe,28,RD6134652415591987,7.88,98.13,6.22,104.35,amazon pay,2024-06-20 04:54:57,2024,6,4,3,0,0,late_night,1,0.0,medium_demand,1.0,0.1036,16.89,13.24,medium,moderate,standard
bike,2024-07-17,completed,hsr layout works,lingarajapuram square,16,RD8635944050857335,7.33,104.41,10.55,114.96,gpay,2024-07-17 01:04:02,2024,7,1,2,0,0,late_night,1,0.0,medium_demand,1.01,0.1036,27.49,15.68,medium,moderate,standard
bike,2024-08-04,completed,rmv 2nd stage 3rd block,banerghatta road village,51,RD3380849942480231,12.53,131.52,5.52,137.04,amazon pay,2024-08-04 00:58:25,2024,8,0,6,1,0,late_night,1,0.0,low_demand,0.98,0.1036,14.74,10.94,medium,long,standard
bike_lite,2024-07-12,completed,srirampura run,kr puram complex,10,RD0435446308407909,1.89,26.21,6.47,32.68,qr scan,2024-07-12 06:24:03,2024,7,6,4,0,0,morning_rush,1,0.0,medium_demand,1.0,0.0995,11.34,17.29,short,quick,budget
cab_economy,2024-06-29,completed,madivala square,byatarayanapura landing,28,RD6251184946210781,6.18,190.77,5.52,196.29,gpay,2024-06-29 10:10:34,2024,6,10,5,1,1,late_morning,1,0.0,high_demand,1.0,0.1074,13.24,31.76,medium,moderate,premium
bike,2024-08-15,cancelled,yelahanka new town works,mahadevapura quarry,28,RD1806032245118073,4.52,0.0,0.0,0.0,not_applicable,2024-08-15 10:28:22,2024,8,10,3,0,1,late_morning,0,0.25,medium_demand,1.0,0.1036,9.69,0.0,short,moderate,cancelled
bike,2024-07-26,completed,vijayanagar boulevard,kodigehalli crescent,17,RD1022118407665224,2.59,44.89,14.61,59.5,amazon pay,2024-07-26 07:54:00,2024,7,7,4,0,0,morning_rush,1,0.0,medium_demand,1.02,0.1036,9.14,22.97,short,moderate,budget
cab_economy,2024-07-27,completed,kodigehalli park,dooravani nagar garden,33,RD1581370576696450,9.79,235.5,0.01,235.51,gpay,2024-07-27 21:44:36,2024,7,21,5,1,0,night,1,0.0,low_demand,1.0,0.1074,17.8,24.06,medium,long,premium
bike,2024-08-10,completed,ramamurthy nagar bay,kumaraswamy layout square,15,RD8450674279635236,2.38,60.31,4.64,64.95,qr scan,2024-08-10 02:51:57,2024,8,2,5,1,0,late_night,1,0.0,low_demand,0.96,0.1036,9.52,27.29,short,quick,budget
cab_economy,2024-07-09,completed,madivala circle,srirampura village,17,RD6309443111140680,3.04,129.7,3.33,133.03,amazon pay,2024-07-09 21:28:19,2024,7,21,1,0,0,night,1,0.0,medium_demand,1.0,0.1074,10.73,43.76,short,moderate,standard
bike,2024-06-17,completed,benson town arcade,doddaballapur station,10,RD7251101541817511,4.44,48.92,5.52,54.44,paytm,2024-06-17 13:54:48,2024,6,13,0,0,0,afternoon,1,0.0,medium_demand,1.02,0.1036,26.64,12.26,short,quick,budget
cab_economy,2024-07-08,completed,yeshwanthpur passage,kothanur square,107,RD7528615406219812,32.75,698.61,5.52,704.13,qr scan,2024-07-08 00:54:46,2024,7,0,0,0,0,late_night,1,0.1667,high_demand,0.98,0.1074,18.36,21.5,long,long,premium
parcel,2024-07-07,cancelled,basavanagudi esplanade,doddanekundi village,39,RD2306698615891929,13.71,0.0,0.0,0.0,not_applicable,2024-07-07 03:37:58,2024,7,3,6,1,0,late_night,0,0.1667,high_demand,0.99,0.1053,21.09,0.0,medium,long,cancelled
bike_lite,2024-06-26,completed,attibele cove,chikkagubbi side,15,RD2406982706817982,6.84,48.97,13.75,62.72,gpay,2024-06-26 21:25:58,2024,6,21,2,0,0,night,1,0.0,low_demand,1.0,0.0995,27.36,9.17,medium,quick,budget
auto,2024-07-08,completed,nagawara way,anekal 5th block,14,RD1063446832837928,3.11,85.89,21.04,106.93,paytm,2024-07-08 16:44:12,2024,7,16,0,0,0,evening_rush,1,0.0,high_demand,0.98,0.1028,13.33,34.38,short,quick,standard
bike,2024-07-15,completed,anekal garden,babusapalya pass,16,RD8906309739869979,4.73,64.07,8.07,72.14,qr scan,2024-07-15 05:39:00,2024,7,5,0,0,0,late_night,1,0.0,high_demand,1.01,0.1036,17.74,15.25,short,moderate,budget
auto,2024-07-19,cancelled,chikkajala promenade,sahakar nagar quay,32,RD0661996021871137,6.34,0.0,0.0,0.0,not_applicable,2024-07-19 09:22:47,2024,7,9,4,0,1,morning_rush,0,0.4286,high_demand,1.03,0.1028,11.89,0.0,medium,long,cancelled
bike,2024-08-11,completed,giri nagar 5th stage,hrbr layout pier,20,RD7481351134212520,5.42,65.05,5.52,70.57,gpay,2024-08-11 20:37:40,2024,8,20,6,1,0,night,1,0.0,low_demand,1.0,0.1036,16.26,13.02,medium,moderate,budget
bike,2024-06-26,completed,koramangala,anjanapura quarry,15,RD5440556690792913,1.69,54.01,5.16,59.17,gpay,2024-06-26 04:55:52,2024,6,4,2,0,0,late_night,1,0.1017,high_demand,1.0,0.1036,6.76,35.01,short,quick,budget
cab_economy,2024-06-27,completed,srirampura farms,doddakannelli quarters,19,RD0833847880076187,8.23,211.54,5.52,217.06,paytm,2024-06-27 22:12:03,2024,6,22,3,0,0,night,1,0.0,medium_demand,1.01,0.1074,25.99,26.37,medium,moderate,premium
bike,2024-08-15,completed,koramangala,btm layout terrace,27,RD3396547257701584,11.09,104.92,5.17,110.09,amazon pay,2024-08-15 12:41:16,2024,8,12,3,0,0,late_morning,1,0.1017,high_demand,1.0,0.1036,24.64,9.93,medium,moderate,standard
auto,2024-06-24,completed,iti layout quarters,rajajinagar commons,20,RD5684967706313472,7.78,139.17,4.28,143.45,amazon pay,2024-06-24 21:35:16,2024,6,21,0,0,0,night,1,0.0,high_demand,1.0,0.1028,23.34,18.44,medium,moderate,standard
bike,2024-07-08,completed,hennur road landing,adugodi 5th block,5,RD4194820692246454,1.74,27.86,13.11,40.97,gpay,2024-07-08 11:10:40,2024,7,11,0,0,0,late_morning,1,0.1,high_demand,1.05,0.1036,20.88,23.55,short,quick,budget
auto,2024-07-17,cancelled,jayanagar 4th block,kothaguda 2nd block,32,RD7816597851940003,6.07,0.0,0.0,0.0,not_applicable,2024-07-17 18:27:47,2024,7,18,2,0,1,evening_rush,0,0.3333,low_demand,1.0,0.1028,11.38,0.0,medium,long,cancelled
bike,2024-06-24,completed,btm layout passage,mahadevapura landing,29,RD8328883434181736,11.06,128.67,3.35,132.02,amazon pay,2024-06-24 04:16:50,2024,6,4,0,0,0,late_night,1,0.5,low_demand,1.0,0.1036,22.88,11.94,medium,moderate,standard
auto,2024-07-10,completed,tavarekere park,banaswadi vista,18,RD7450063577959044,5.63,172.62,0.28,172.9,amazon pay,2024-07-10 04:09:15,2024,7,4,2,0,0,late_night,1,0.2,medium_demand,1.0,0.1028,18.77,30.71,medium,moderate,premium
parcel,2024-08-12,completed,avalahalli sector,mysore road loop,25,RD8841623057419279,3.62,61.58,8.64,70.22,amazon pay,2024-08-12 13:37:27,2024,8,13,0,0,0,afternoon,1,0.0,medium_demand,1.02,0.1053,8.69,19.4,short,moderate,budget
bike,2024-07-03,completed,koramangala,rachenahalli 5th stage,5,RD8531318458991953,3.58,49.56,2.84,52.4,gpay,2024-07-03 23:48:47,2024,7,23,2,0,0,late_night,1,0.1017,high_demand,0.96,0.1036,42.96,14.64,short,quick,budget
